game_id,game_date,season,matchup,celtics_points,opponent_points,celtics_margin,celtics_plusminus_sum,celtics_expected_sum,celtics_error,opponent_plusminus_sum,opponent_expected_sum,opponent_error
0021700407,2017-12-13,2017-18,BOS vs. DEN,124,118,6,30.0,30,0.0,-40.0,-30,-10.0
0021700468,2017-12-21,2017-18,BOS @ NYK,93,102,-9,-44.0,-45,1.0,45.0,45,0.0
0021700743,2018-01-29,2017-18,BOS @ DEN,111,110,1,-13.0,5,-18.0,14.0,-5,19.0
0021700784,2018-02-04,2017-18,BOS vs. POR,97,96,1,6.0,5,1.0,-5.0,-5,0.0
0021700939,2018-03-03,2017-18,BOS @ HOU,120,123,-3,-13.0,-15,2.0,17.0,15,2.0
0021800409,2018-12-12,2018-19,BOS @ WAS,130,125,5,5.0,25,-20.0,-3.0,-25,22.0
0021800458,2018-12-19,2018-19,BOS vs. PHX,103,111,-8,-20.0,-40,20.0,31.0,40,-9.0
0022000326,2021-02-02,2020-21,BOS @ GSW,111,107,4,20.0,20,0.0,-23.0,-20,-3.0
0022200135,2022-11-05,2022-23,BOS @ NYK,133,118,15,52.0,75,-23.0,-63.0,-75,12.0
0022200749,2023-01-28,2022-23,BOS vs. LAL,125,121,4,15.0,20,-5.0,-15.0,-20,5.0
