SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,PLUS_MINUS,SEASON,OPPONENT_ABBREV,IS_HOME,CELTICS_WON
22016,1610612738,BOS,0021600006,2016-10-26,BOS vs. BKN,W,122,5.0,2016-17,BKN,True,1
22016,1610612738,BOS,0021600015,2016-10-27,BOS @ CHI,L,99,-6.0,2016-17,CHI,False,0
22016,1610612738,BOS,0021600027,2016-10-29,BOS @ CHA,W,104,6.0,2016-17,CHA,False,1
22016,1610612738,BOS,0021600061,2016-11-02,BOS vs. CHI,W,107,7.0,2016-17,CHI,True,1
22016,1610612738,BOS,0021600068,2016-11-03,BOS @ CLE,L,122,-6.0,2016-17,CLE,False,0
22016,1610612738,BOS,0021600091,2016-11-06,BOS vs. DEN,L,107,-16.0,2016-17,DEN,True,0
22016,1610612738,BOS,0021600107,2016-11-09,BOS @ WAS,L,93,-25.0,2016-17,WAS,False,0
22016,1610612738,BOS,0021600125,2016-11-11,BOS vs. NYK,W,115,28.0,2016-17,NYK,True,1
22016,1610612738,BOS,0021600130,2016-11-12,BOS @ IND,W,105,6.0,2016-17,IND,False,1
22016,1610612738,BOS,0021600148,2016-11-14,BOS @ NOP,L,105,-1.0,2016-17,NOP,False,0
22016,1610612738,BOS,0021600161,2016-11-16,BOS vs. DAL,W,90,7.0,2016-17,DAL,True,1
22016,1610612738,BOS,0021600179,2016-11-18,BOS vs. GSW,L,88,-16.0,2016-17,GSW,True,0
22016,1610612738,BOS,0021600188,2016-11-19,BOS @ DET,W,94,2.0,2016-17,DET,False,1
22016,1610612738,BOS,0021600205,2016-11-21,BOS @ MIN,W,99,6.0,2016-17,MIN,False,1
22016,1610612738,BOS,0021600217,2016-11-23,BOS @ BKN,W,111,19.0,2016-17,BKN,False,1
22016,1610612738,BOS,0021600225,2016-11-25,BOS vs. SAS,L,103,-6.0,2016-17,SAS,True,0
22016,1610612738,BOS,0021600256,2016-11-28,BOS @ MIA,W,112,8.0,2016-17,MIA,False,1
22016,1610612738,BOS,0021600267,2016-11-30,BOS vs. DET,L,114,-7.0,2016-17,DET,True,0
22016,1610612738,BOS,0021600283,2016-12-02,BOS vs. SAC,W,97,5.0,2016-17,SAC,True,1
22016,1610612738,BOS,0021600294,2016-12-03,BOS @ PHI,W,107,1.0,2016-17,PHI,False,1
22016,1610612738,BOS,0021600311,2016-12-05,BOS @ HOU,L,106,-1.0,2016-17,HOU,False,0
22016,1610612738,BOS,0021600322,2016-12-07,BOS @ ORL,W,117,30.0,2016-17,ORL,False,1
22016,1610612738,BOS,0021600339,2016-12-09,BOS vs. TOR,L,94,-7.0,2016-17,TOR,True,0
22016,1610612738,BOS,0021600357,2016-12-11,BOS @ OKC,L,96,-3.0,2016-17,OKC,False,0
22016,1610612738,BOS,0021600383,2016-12-14,BOS @ SAS,L,101,-7.0,2016-17,SAS,False,0
22016,1610612738,BOS,0021600391,2016-12-16,BOS vs. CHA,W,96,8.0,2016-17,CHA,True,1
