SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,PLUS_MINUS,SEASON,WON
22016,1610612739,CLE,0021600001,2016-10-25,CLE vs. NYK,W,117,29.0,2016-17,1
22016,1610612752,NYK,0021600001,2016-10-25,NYK @ CLE,L,88,-29.0,2016-17,0
22016,1610612757,POR,0021600002,2016-10-25,POR vs. UTA,W,113,9.0,2016-17,1
22016,1610612762,UTA,0021600002,2016-10-25,UTA @ POR,L,104,-9.0,2016-17,0
22016,1610612744,GSW,0021600003,2016-10-25,GSW vs. SAS,L,100,-29.0,2016-17,0
22016,1610612759,SAS,0021600003,2016-10-25,SAS @ GSW,W,129,29.0,2016-17,1
22016,1610612748,MIA,0021600004,2016-10-26,MIA @ ORL,W,108,12.0,2016-17,1
22016,1610612753,ORL,0021600004,2016-10-26,ORL vs. MIA,L,96,-12.0,2016-17,0
22016,1610612742,DAL,0021600005,2016-10-26,DAL @ IND,L,121,-9.0,2016-17,0
22016,1610612754,IND,0021600005,2016-10-26,IND vs. DAL,W,130,9.0,2016-17,1
22016,1610612751,BKN,0021600006,2016-10-26,BKN @ BOS,L,117,-5.0,2016-17,0
22016,1610612738,BOS,0021600006,2016-10-26,BOS vs. BKN,W,122,5.0,2016-17,1
22016,1610612765,DET,0021600007,2016-10-26,DET @ TOR,L,91,-18.0,2016-17,0
22016,1610612761,TOR,0021600007,2016-10-26,TOR vs. DET,W,109,18.0,2016-17,1
22016,1610612766,CHA,0021600008,2016-10-26,CHA @ MIL,W,107,11.0,2016-17,1
22016,1610612749,MIL,0021600008,2016-10-26,MIL vs. CHA,L,96,-11.0,2016-17,0
22016,1610612763,MEM,0021600009,2016-10-26,MEM vs. MIN,W,102,4.0,2016-17,1
22016,1610612750,MIN,0021600009,2016-10-26,MIN @ MEM,L,98,-4.0,2016-17,0
22016,1610612743,DEN,0021600010,2016-10-26,DEN @ NOP,W,107,5.0,2016-17,1
22016,1610612740,NOP,0021600010,2016-10-26,NOP vs. DEN,L,102,-5.0,2016-17,0
22016,1610612760,OKC,0021600011,2016-10-26,OKC @ PHI,W,103,4.0,2016-17,1
22016,1610612755,PHI,0021600011,2016-10-26,PHI vs. OKC,L,97,-4.0,2016-17,0
