person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
201567,Kevin Love,kevin-love,0,F-C,6-8,251,"SEP 07, 1988",31.0,11,UCLA,2019-20,1610612739,CLE,Cleveland Cavaliers
203957,Danté Exum,danté-exum,1,G,6-5,214,"JUL 13, 1995",24.0,6,Australian Institute of Sport,2019-20,1610612739,CLE,Cleveland Cavaliers
1629012,Collin Sexton,collin-sexton,2,G,6-1,190,"JAN 04, 1999",21.0,1,Alabama,2019-20,1610612739,CLE,Cleveland Cavaliers
203083,Andre Drummond,andre-drummond,3,C,6-10,279,"AUG 10, 1993",26.0,7,Connecticut,2019-20,1610612739,CLE,Cleveland Cavaliers
1629645,Kevin Porter Jr.,kevin-porter-jr,4,G-F,6-4,203,"MAY 04, 2000",20.0,R,Southern California,2019-20,1610612739,CLE,Cleveland Cavaliers
1628395,Jordan Bell,jordan-bell,5,F,6-8,216,"JAN 07, 1995",25.0,2,Oregon,2019-20,1610612739,CLE,Cleveland Cavaliers
1629685,Dylan Windler,dylan-windler,9,G-F,6-6,196,"SEP 22, 1996",23.0,R,Belmont,2019-20,1610612739,CLE,Cleveland Cavaliers
1629636,Darius Garland,darius-garland,10,G,6-1,192,"JAN 26, 2000",20.0,R,Vanderbilt,2019-20,1610612739,CLE,Cleveland Cavaliers
202684,Tristan Thompson,tristan-thompson,13,C-F,6-9,254,"MAR 13, 1991",29.0,8,Texas-Austin,2019-20,1610612739,CLE,Cleveland Cavaliers
1626224,Cedi Osman,cedi-osman,16,F,6-7,230,"APR 08, 1995",25.0,2,Anadolu Efes,2019-20,1610612739,CLE,Cleveland Cavaliers
203521,Matthew Dellavedova,matthew-dellavedova,18,G,6-3,200,"SEP 08, 1990",29.0,6,Saint Mary's,2019-20,1610612739,CLE,Cleveland Cavaliers
1626204,Larry Nance Jr.,larry-nance-jr,22,F-C,6-7,245,"JAN 01, 1993",27.0,4,Wyoming,2019-20,1610612739,CLE,Cleveland Cavaliers
1628035,Alfonzo McKinnie,alfonzo-mckinnie,28,F,6-7,215,"SEP 17, 1992",27.0,2,Wisc.-Green Bay,2019-20,1610612739,CLE,Cleveland Cavaliers
1629760,Matt Mooney,matt-mooney,31,G,6-2,199,"FEB 07, 1995",25.0,R,Texas Tech,2019-20,1610612739,CLE,Cleveland Cavaliers
1629731,Dean Wade,dean-wade,32,F-C,6-9,228,"NOV 20, 1996",23.0,R,Kansas State,2019-20,1610612739,CLE,Cleveland Cavaliers
1627790,Ante Zizic,ante-zizic,41,C,6-10,266,"JAN 04, 1997",23.0,2,Darussafaka,2019-20,1610612739,CLE,Cleveland Cavaliers
