person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
1628372,Dennis Smith Jr.,dennis-smith-jr,0,G,6-2,205,"NOV 25, 1997",23.0,3,North Carolina State,2020-21,1610612765,DET,Detroit Pistons
1628402,Frank Jackson,frank-jackson,5,G,6-3,205,"MAY 04, 1998",23.0,2,Duke,2020-21,1610612765,DET,Detroit Pistons
1628977,Hamidou Diallo,hamidou-diallo,6,G,6-5,202,"JUL 31, 1998",22.0,2,Kentucky,2020-21,1610612765,DET,Detroit Pistons
1630165,Killian Hayes,killian-hayes,7,G,6-5,195,"JUL 27, 2001",19.0,R,Ratiopharm Ulm,2020-21,1610612765,DET,Detroit Pistons
201961,Wayne Ellington,wayne-ellington,8,G,6-4,207,"NOV 29, 1987",33.0,11,North Carolina,2020-21,1610612765,DET,Detroit Pistons
203924,Jerami Grant,jerami-grant,9,F,6-8,210,"MAR 12, 1994",27.0,6,Syracuse,2020-21,1610612765,DET,Detroit Pistons
1626143,Jahlil Okafor,jahlil-okafor,13,C-F,6-10,270,"DEC 15, 1995",25.0,5,Duke,2020-21,1610612765,DET,Detroit Pistons
203585,Rodney McGruder,rodney-mcgruder,17,G,6-4,205,"JUL 29, 1991",29.0,4,Kansas State,2020-21,1610612765,DET,Detroit Pistons
202709,Cory Joseph,cory-joseph,18,G,6-3,200,"AUG 20, 1991",29.0,9,Texas,2020-21,1610612765,DET,Detroit Pistons
1628367,Josh Jackson,josh-jackson,20,G-F,6-8,207,"FEB 10, 1997",24.0,3,Kansas,2020-21,1610612765,DET,Detroit Pistons
203486,Mason Plumlee,mason-plumlee,24,F-C,6-11,254,"MAR 05, 1990",31.0,7,Duke,2020-21,1610612765,DET,Detroit Pistons
1629076,Tyler Cook,tyler-cook,25,F,6-8,255,"SEP 23, 1997",23.0,1,Iowa,2020-21,1610612765,DET,Detroit Pistons
1630191,Isaiah Stewart,isaiah-stewart,28,F-C,6-8,250,"MAY 22, 2001",20.0,R,Washington,2020-21,1610612765,DET,Detroit Pistons
1630240,Saben Lee,saben-lee,38,G,6-2,183,"JUN 23, 1999",22.0,R,Vanderbilt,2020-21,1610612765,DET,Detroit Pistons
1630180,Saddiq Bey,saddiq-bey,41,F,6-7,215,"APR 09, 1999",22.0,R,Villanova,2020-21,1610612765,DET,Detroit Pistons
1629635,Sekou Doumbouya,sekou-doumbouya,45,F,6-8,230,"DEC 23, 2000",20.0,1,                                   ,2020-21,1610612765,DET,Detroit Pistons
1629686,Deividas Sirvydis,deividas-sirvydis,91,F-G,6-8,190,"JUN 10, 2000",21.0,R,Lietuvos rytas Vilnius,2020-21,1610612765,DET,Detroit Pistons
