person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
201580,JaVale McGee,javale-mcgee,00,C-F,7-0,270,"JAN 19, 1988",34.0,13,Nevada,2021-22,1610612756,PHX,Phoenix Suns
1628470,Torrey Craig,torrey-craig,0,F,6-7,221,"DEC 19, 1990",31.0,4,South Carolina Upstate,2021-22,1610612756,PHX,Phoenix Suns
1626164,Devin Booker,devin-booker,1,G,6-5,206,"OCT 30, 1996",25.0,6,Kentucky,2021-22,1610612756,PHX,Phoenix Suns
203901,Elfrid Payton,elfrid-payton,2,G,6-3,195,"FEB 22, 1994",28.0,7,Louisana-Lafayette,2021-22,1610612756,PHX,Phoenix Suns
101108,Chris Paul,chris-paul,3,G,6-0,175,"MAY 06, 1985",37.0,16,Wake Forest,2021-22,1610612756,PHX,Phoenix Suns
1628988,Aaron Holiday,aaron-holiday,4,G,6-0,185,"SEP 30, 1996",25.0,3,UCLA,2021-22,1610612756,PHX,Phoenix Suns
1630688,Ish Wainright,ish-wainright,12,F,6-5,250,"SEP 12, 1994",27.0,R,Baylor,2021-22,1610612756,PHX,Phoenix Suns
1629013,Landry Shamet,landry-shamet,14,G,6-4,190,"MAR 13, 1997",25.0,3,Wichita State,2021-22,1610612756,PHX,Phoenix Suns
1626166,Cameron Payne,cameron-payne,15,G,6-1,183,"AUG 08, 1994",27.0,6,Murray State,2021-22,1610612756,PHX,Phoenix Suns
202687,Bismack Biyombo,bismack-biyombo,18,C,6-8,255,"AUG 28, 1992",29.0,10,Baloncesto Fuenlabrada,2021-22,1610612756,PHX,Phoenix Suns
1630994,Gabriel Lundberg,gabriel-lundberg,19,G,6-4,203,"DEC 04, 1994",27.0,R,CSKA Moscow,2021-22,1610612756,PHX,Phoenix Suns
203967,Dario Šarić,dario-šarić,20,F-C,6-10,225,"APR 08, 1994",28.0,5,Anadolu Efes,2021-22,1610612756,PHX,Phoenix Suns
1629028,Deandre Ayton,deandre-ayton,22,C,6-11,250,"JUL 23, 1998",23.0,3,Arizona,2021-22,1610612756,PHX,Phoenix Suns
1629661,Cameron Johnson,cameron-johnson,23,F,6-8,210,"MAR 03, 1996",26.0,2,North Carolina,2021-22,1610612756,PHX,Phoenix Suns
1628969,Mikal Bridges,mikal-bridges,25,F,6-6,209,"AUG 30, 1996",25.0,3,Villanova,2021-22,1610612756,PHX,Phoenix Suns
203109,Jae Crowder,jae-crowder,99,F,6-6,235,"JUL 06, 1990",31.0,9,Marquette,2021-22,1610612756,PHX,Phoenix Suns
