person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
201566,Russell Westbrook,russell-westbrook,0,G,6-3,200,"NOV 12, 1988",34.0,14,UCLA,2022-23,1610612746,LAC,Los Angeles Clippers
202695,Kawhi Leonard,kawhi-leonard,2,F,6-7,225,"JUN 29, 1991",32.0,11,San Diego State,2022-23,1610612746,LAC,Los Angeles Clippers
1630527,Brandon Boston,brandon-boston,4,G,6-6,188,"NOV 28, 2001",21.0,1,Kentucky,2022-23,1610612746,LAC,Los Angeles Clippers
1630538,Bones Hyland,bones-hyland,5,G,6-2,169,"SEP 14, 2000",22.0,1,Virginia Commonwealth,2022-23,1610612746,LAC,Los Angeles Clippers
1629599,Amir Coffey,amir-coffey,7,G-F,6-7,210,"JUN 17, 1997",26.0,3,Minnesota,2022-23,1610612746,LAC,Los Angeles Clippers
202694,Marcus Morris Sr.,marcus-morris-sr,8,F,6-8,218,"SEP 02, 1989",33.0,11,Kansas,2022-23,1610612746,LAC,Los Angeles Clippers
201569,Eric Gordon,eric-gordon,10,G,6-3,215,"DEC 25, 1988",34.0,14,Indiana,2022-23,1610612746,LAC,Los Angeles Clippers
202331,Paul George,paul-george,13,F,6-8,220,"MAY 02, 1990",33.0,12,Fresno State,2022-23,1610612746,LAC,Los Angeles Clippers
1629611,Terance Mann,terance-mann,14,G-F,6-5,215,"OCT 18, 1996",26.0,3,Florida State,2022-23,1610612746,LAC,Los Angeles Clippers
1629875,Xavier Moon,xavier-moon,15,G,6-0,165,"JAN 02, 1995",28.0,1,Morehead State,2022-23,1610612746,LAC,Los Angeles Clippers
1630554,Jason Preston,jason-preston,17,G,6-3,181,"AUG 10, 1999",23.0,R,Ohio,2022-23,1610612746,LAC,Los Angeles Clippers
203496,Robert Covington,robert-covington,23,F,6-7,209,"DEC 14, 1990",32.0,9,Tennessee State,2022-23,1610612746,LAC,Los Angeles Clippers
1626181,Norman Powell,norman-powell,24,G,6-4,215,"MAY 25, 1993",30.0,7,UCLA,2022-23,1610612746,LAC,Los Angeles Clippers
1631217,Moussa Diabaté,moussa-diabaté,25,F,6-10,210,"JAN 21, 2002",21.0,R,Michigan,2022-23,1610612746,LAC,Los Angeles Clippers
201587,Nicolas Batum,nicolas-batum,33,G-F,6-8,230,"DEC 14, 1988",34.0,14,Le Mans,2022-23,1610612746,LAC,Los Angeles Clippers
1627826,Ivica Zubac,ivica-zubac,40,C,7-0,240,"MAR 18, 1997",26.0,6,Mega Basket,2022-23,1610612746,LAC,Los Angeles Clippers
203486,Mason Plumlee,mason-plumlee,44,F-C,7-0,254,"MAR 05, 1990",33.0,9,Duke,2022-23,1610612746,LAC,Los Angeles Clippers
