person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
1628978,Donte DiVincenzo,donte-divincenzo,0,G,6-4,203,"JAN 31, 1997",28.0,6,Villanova,2024-25,1610612750,MIN,Minnesota Timberwolves
1630545,Terrence Shannon Jr.,terrence-shannon-jr,00,G-F,6-6,215,"JUL 30, 2000",24.0,R,Illinois,2024-25,1610612750,MIN,Minnesota Timberwolves
1630183,Jaden McDaniels,jaden-mcdaniels,3,F,6-9,185,"SEP 29, 2000",24.0,4,Washington,2024-25,1610612750,MIN,Minnesota Timberwolves
1642265,Rob Dillingham,rob-dillingham,4,G,6-3,175,"JAN 04, 2005",20.0,R,Kentucky,2024-25,1610612750,MIN,Minnesota Timberwolves
1630162,Anthony Edwards,anthony-edwards,5,G,6-4,225,"AUG 05, 2001",23.0,4,Georgia,2024-25,1610612750,MIN,Minnesota Timberwolves
204060,Joe Ingles,joe-ingles,7,F-G,6-8,220,"OCT 02, 1987",37.0,10,Maccabi Tel Aviv,2024-25,1610612750,MIN,Minnesota Timberwolves
1631169,Josh Minott,josh-minott,8,F,6-8,205,"NOV 25, 2002",22.0,2,Memphis,2024-25,1610612750,MIN,Minnesota Timberwolves
1629638,Nickeil Alexander-Walker,nickeil-alexander-walker,9,G,6-5,205,"SEP 02, 1998",26.0,5,Virginia Tech,2024-25,1610612750,MIN,Minnesota Timberwolves
201144,Mike Conley,mike-conley,10,G,6-0,175,"OCT 11, 1987",37.0,17,Ohio State,2024-25,1610612750,MIN,Minnesota Timberwolves
1629675,Naz Reid,naz-reid,11,C-F,6-9,264,"AUG 26, 1999",25.0,5,Louisiana State,2024-25,1610612750,MIN,Minnesota Timberwolves
1641803,Tristen Newton,tristen-newton,13,G,6-5,190,"APR 26, 2001",24.0,R,Connecticut,2024-25,1610612750,MIN,Minnesota Timberwolves
1642399,Jesse Edwards,jesse-edwards,14,C,7-0,236,"MAR 18, 2000",25.0,R,West Virginia,2024-25,1610612750,MIN,Minnesota Timberwolves
1641740,Jaylen Clark,jaylen-clark,22,G,6-4,205,"OCT 13, 2001",23.0,R,UCLA,2024-25,1610612750,MIN,Minnesota Timberwolves
203497,Rudy Gobert,rudy-gobert,27,C,7-1,258,"JUN 26, 1992",33.0,11,Cholet,2024-25,1610612750,MIN,Minnesota Timberwolves
203944,Julius Randle,julius-randle,30,F-C,6-9,250,"NOV 29, 1994",30.0,10,Kentucky,2024-25,1610612750,MIN,Minnesota Timberwolves
1631159,Leonard Miller,leonard-miller,33,F,6-10,220,"NOV 26, 2003",21.0,1,NBA G League Ignite,2024-25,1610612750,MIN,Minnesota Timberwolves
1630568,Luka Garza,luka-garza,55,C,6-10,243,"DEC 27, 1998",26.0,3,Iowa,2024-25,1610612750,MIN,Minnesota Timberwolves
1630538,Bones Hyland,bones-hyland,77,G,6-2,169,"SEP 14, 2000",24.0,3,Virginia Commonwealth,2024-25,1610612750,MIN,Minnesota Timberwolves
