person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
1631232,Keion Brooks Jr.,keion-brooks-jr,,F,6-7,210,"AUG 07, 2000",24.0,R,Washington,2024-25,1610612740,NOP,New Orleans Pelicans
1628971,Bruce Brown,bruce-brown,00,G-F,6-4,202,"AUG 15, 1996",28.0,6,Miami,2024-25,1610612740,NOP,New Orleans Pelicans
1629627,Zion Williamson,zion-williamson,1,F,6-6,284,"JUL 06, 2000",24.0,5,Duke,2024-25,1610612740,NOP,New Orleans Pelicans
1630529,Herbert Jones,herbert-jones,2,F,6-7,206,"OCT 06, 1998",26.0,3,Alabama,2024-25,1610612740,NOP,New Orleans Pelicans
203468,CJ McCollum,cj-mccollum,3,G,6-3,190,"SEP 19, 1991",33.0,11,Lehigh,2024-25,1610612740,NOP,New Orleans Pelicans
203901,Elfrid Payton,elfrid-payton,4,G,6-3,195,"FEB 22, 1994",31.0,8,Louisana-Lafayette,2024-25,1610612740,NOP,New Orleans Pelicans
1627749,Dejounte Murray,dejounte-murray,5,G,6-4,180,"SEP 19, 1996",28.0,8,Washington,2024-25,1610612740,NOP,New Orleans Pelicans
1631288,Jamal Cain,jamal-cain,8,F,6-6,191,"MAR 20, 1999",26.0,2,Oakland,2024-25,1610612740,NOP,New Orleans Pelicans
1630527,Brandon Boston,brandon-boston,11,G,6-6,188,"NOV 28, 2001",23.0,3,Kentucky,2024-25,1610612740,NOP,New Orleans Pelicans
1641810,Antonio Reeves,antonio-reeves,12,G,6-5,205,"NOV 20, 2000",24.0,R,Kentucky,2024-25,1610612740,NOP,New Orleans Pelicans
203482,Kelly Olynyk,kelly-olynyk,13,F-C,6-11,240,"APR 19, 1991",34.0,11,Gonzaga,2024-25,1610612740,NOP,New Orleans Pelicans
1630631,Jose Alvarado,jose-alvarado,15,G,6-0,179,"APR 12, 1998",27.0,3,Georgia Tech,2024-25,1610612740,NOP,New Orleans Pelicans
1631255,Karlo Matković,karlo-matković,17,F-C,6-10,231,"MAR 30, 2001",24.0,R,Mega Basket,2024-25,1610612740,NOP,New Orleans Pelicans
1642274,Yves Missi,yves-missi,21,C,6-11,235,"MAY 14, 2004",21.0,R,Baylor,2024-25,1610612740,NOP,New Orleans Pelicans
1631311,Lester Quinones,lester-quinones,22,G,6-4,208,"NOV 16, 2000",24.0,2,Memphis,2024-25,1610612740,NOP,New Orleans Pelicans
1641722,Jordan Hawkins,jordan-hawkins,24,G,6-5,190,"APR 29, 2002",23.0,1,Connecticut,2024-25,1610612740,NOP,New Orleans Pelicans
1630530,Trey Murphy III,trey-murphy-iii,25,F,6-8,206,"JUN 18, 2000",25.0,3,Virginia,2024-25,1610612740,NOP,New Orleans Pelicans
1630526,Jeremiah Robinson-Earl,jeremiah-robinson-earl,50,F,6-8,240,"NOV 03, 2000",24.0,3,Villanova,2024-25,1610612740,NOP,New Orleans Pelicans
