person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name
1630639,A.J. Lawson,aj-lawson,0,G,6-6,179,"JUL 15, 2000",24.0,2,South Carolina,2024-25,1610612761,TOR,Toronto Raptors
1641711,Gradey Dick,gradey-dick,1,G-F,6-6,200,"NOV 20, 2003",21.0,1,Kansas,2024-25,1610612761,TOR,Toronto Raptors
1642367,Jonathan Mogbo,jonathan-mogbo,2,F,6-9,225,"OCT 29, 2001",23.0,R,San Francisco,2024-25,1610612761,TOR,Toronto Raptors
1627742,Brandon Ingram,brandon-ingram,3,F,6-8,190,"SEP 02, 1997",27.0,8,Duke,2024-25,1610612761,TOR,Toronto Raptors
1630567,Scottie Barnes,scottie-barnes,4,F-G,6-7,237,"AUG 01, 2001",23.0,3,Florida State,2024-25,1610612761,TOR,Toronto Raptors
1630193,Immanuel Quickley,immanuel-quickley,5,G,6-2,190,"JUN 17, 1999",26.0,4,Kentucky,2024-25,1610612761,TOR,Toronto Raptors
1631197,Jared Rhoden,jared-rhoden,8,G,6-5,210,"AUG 27, 1999",25.0,2,Seton Hall,2024-25,1610612761,TOR,Toronto Raptors
1629628,RJ Barrett,rj-barrett,9,F-G,6-6,214,"JUN 14, 2000",25.0,5,Duke,2024-25,1610612761,TOR,Toronto Raptors
1630658,Colin Castleton,colin-castleton,11,C,6-10,250,"MAY 25, 2000",25.0,1,Florida,2024-25,1610612761,TOR,Toronto Raptors
1642266,Ja'Kobe Walter,jakobe-walter,14,G,6-5,180,"SEP 04, 2004",20.0,R,Baylor,2024-25,1610612761,TOR,Toronto Raptors
202066,Garrett Temple,garrett-temple,17,G-F,6-5,195,"MAY 08, 1986",39.0,14,Louisiana State,2024-25,1610612761,TOR,Toronto Raptors
1627751,Jakob Poeltl,jakob-poeltl,19,C,7-0,260,"OCT 15, 1995",29.0,8,Utah,2024-25,1610612761,TOR,Toronto Raptors
1642279,Ulrich Chomche,ulrich-chomche,22,C,6-11,235,"DEC 30, 2005",19.0,R,NBA Global Academy,2024-25,1610612761,TOR,Toronto Raptors
1642347,Jamal Shead,jamal-shead,23,G,6-1,200,"JUL 24, 2002",22.0,R,Houston,2024-25,1610612761,TOR,Toronto Raptors
1628449,Chris Boucher,chris-boucher,25,F,6-9,200,"JAN 11, 1993",32.0,7,Oregon,2024-25,1610612761,TOR,Toronto Raptors
1630534,Ochai Agbaji,ochai-agbaji,30,G,6-5,215,"APR 20, 2000",25.0,2,Kansas,2024-25,1610612761,TOR,Toronto Raptors
1642419,Jamison Battle,jamison-battle,77,F,6-7,220,"MAY 10, 2001",24.0,R,Ohio State,2024-25,1610612761,TOR,Toronto Raptors
